name,year,subtext,duration,genres,director,stars
Rio,2011,G, 1h 36m,Animation & Adventure & Comedy & Family,Carlos Saldanha,Jesse Eisenberg & Anne Hathaway & Leslie Mann & Jane Lynch & Will.i.am & Wanda Sykes & George Lopez & Jamie Foxx & Rodrigo Santoro & Jemaine Clement & Jake T. Austin & Tracy Morgan & Carlos Ponce & Karen Disher & Jason Fricchione & Sofia Scarpa Saldanha & Kelly Keaton & Gracinha Leporace & Phil Miler & Bernardo de Paula & Carlos Saldanha & Renato D'Angelo & Jeffrey Garcia & Davi Vieira & Thomas F. Wilson & Cindy Slattery & Justine Warwick & Bebel Gilberto & Judah Friedlander & Francisco Ramos & Tim Nordquist & Miriam Wallen & Sérgio Mendes & Ester Dean & Priscilla Avila & Anzolin Borges & Claudia Bretas & Carlinhos Brown & Bira Castro & Shanti Correa & Wendy Cutler & Heber Moreira & Flávia de Mellow & Andrea De Oliveira & Holly Dorff & Matheus dos Santos & Lucas dos Santos & Andrea Ferraz & Marcos Daniel Ferreira & Hanna Frankel & Johnny Gidcomb & Jean Gilpin & Julia Saraiva Gomez & Nicholas Guest & Rif Hutton & Julia Kamanchek Lopes & Lorrayne Mathias & Mikael Mutti & Leo Nobre & Mina Olivera & Bianca Rossini & Julia Scarpa Saldanha & Manoela Scarpa Saldanha & Adriana Souza & Maxwell Wippich & Matthew Wolf
Evil Dead II,1987,R, 1h 24m,Horror & Comedy & Fantasy,Sam Raimi,Bruce Campbell & Sarah Berry & Dan Hicks & Kassie DePaiva & Denise Bixler & Richard Domeier & John Peakes & Lou Hancock & Ted Raimi & Josh Becker & Scott Spiegel
How the Grinch Stole Christmas!,2000,G, 0h 26m,Animation & Family & Comedy,Chuck Jones & Ben Washam,Boris Karloff & June Foray & Thurl Ravenscroft & Dal McKennon
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,PG, 1h 28m,Science Fiction & Adventure & Action & Comedy & Family,Michael Pressman,"Paige Turco & David Warner & Michelan Sisti & Leif Tilden & Kenn Scott & Mark Caso & Kevin Clash & Ernie Reyes, Jr. & François Chau & Toshishiro Obata & Raymond Serra & Mark Ginther & Kurt Bryant & Kevin Nash & Joseph Amodei & Susie Essman & Vanilla Ice & Robbie Rist & Brian Tochi & Laurie Faso & Adam Carl & David McCharen & Michael McConnohie & Frank Welker & Michael Jai White & Nick DeMarinis & Kelli Rabke & Lee Spencer & Gianpaolo Bonaca & Mark Doerr & Tim Parati & John E. Brady & Jon Thompson & Bill Luhrs & Michael Pressman & Rick Colella & Dewey Weber & Sasha Pressman & David Pressman & Shiek Mahmud-Bey & Lisa Chess & Earthquake & Mark Grinage & John Henry Huffman IV & Everett Fitzgerald & Gregory Salata & Mak Wilson & Raul S. Brewster & Keith Coulouris & Chris Cox & Richard Divizio & Dale Frye & Danny E. Glover & Kent Ezzell & Ronald W. Herndon Jr. & Johnny Holbrook & Charles R. Knowles & Kenny Morrison & Charles Page & Daniel Pesina & Terry D. Rich & Scott A. Surgenor & Jeffrey P. Thompson & Michael G. Norris & Steven M. Simma & Char He Downing"
Bridget Jones's Diary,2001,R, 1h 37m,Comedy & Romance & Drama,Sharon Maguire,Renée Zellweger & Colin Firth & Hugh Grant & Gemma Jones & Jim Broadbent & James Callis & Sally Phillips & Shirley Henderson & Embeth Davidtz & Lisa Barbuscia & Celia Imrie & James Faulkner & Charmian May & Paul Brooke & Felicity Montagu & Neil Pearson & Honor Blackman & Patrick Barlow & Gareth Marks & Claire Skinner & Dolly Wells & Mark Lingwood & Sara Stockbridge & Donald Douglas & Dominic McHale & Joan Blackham & Toby Whithouse & Emma Amos & Sulayman Al-Bassam & Lisa Kay & John Clegg & Renu Setna & Stewart Wright & Charlie Caine & Matthew Bates & Rebecca Charles & Salman Rushdie & Jeffrey Archer & Crispin Bonham-Carter & David Cann & Sarah Alexander
Bad Teacher,2011,R, 1h 32m,Comedy,Jake Kasdan,Cameron Diaz & Jason Segel & Justin Timberlake & Lucy Punch & Phyllis Smith & John Michael Higgins & Jillian Armenante & Dave Allen & Matthew J. Evans & Kaitlyn Dever & Igal Ben Yair & Aja Bair & Andra Nechita & Noah Munck & Molly Shannon & Kathryn Newton & Thomas Lennon & Finneas O'Connell & Daniel Castro & Adrian Kali Turner & Eric Stonestreet & Paul Bates & Jeff Judah & Nat Faxon & Stephanie Faracy & David Paymer & Alanna Ubach & Christine Smith & Paul Feig & Deirdre Lovejoy & Melvin Mar & Rose Abdoo & Jerry Lambert & Jennifer Irwin & Rick Overton & David Doty & Matt Besser & Lee Eisenberg & Bruno Gunn & Jordan Van Vranken & Kadee Noel Brown & Jennifer Holloway & Joanna Theobalds & Christina Gabrielle
Four Rooms,1995,R, 1h 38m,Crime & Comedy,Quentin Tarantino & Robert Rodriguez & Alexandre Rockwell & Allison Anders,Tim Roth & Antonio Banderas & Jennifer Beals & Madonna & Marisa Tomei & Bruce Willis & Quentin Tarantino & Sammi Davis & Amanda de Cadenet & Valeria Golino & Lili Taylor & Lawrence Bender & Ione Skye & Alicia Witt & David Proval & Lana McKissack & Tamlyn Tomita & Kathy Griffin & Paul Calderon & Salma Hayek & Patricia Vonne & Danny Verduzco & Kimberly Blair & Marc Lawrence
Great Expectations,1998,R, 1h 51m,Comedy & Drama & Romance,Alfonso Cuarón,Gwyneth Paltrow & Ethan Hawke & Chris Cooper & Anne Bancroft & Robert De Niro & Hank Azaria & Josh Mostel & Kim Dickens & Nell Campbell & Gabriel Mann & Lance Reddick
Lemony Snicket's A Series of Unfortunate Events,2004,PG, 1h 48m,Adventure & Comedy & Family,Brad Silberling,Emily Browning & Liam Aiken & Jim Carrey & Meryl Streep & Jude Law & Kara Hoffman & Shelby Hoffman & Timothy Spall & Billy Connolly & Luis Guzmán & Jennifer Coolidge & Jane Adams & Craig Ferguson & Jamie Harris & Catherine O'Hara & Cedric the Entertainer & Dustin Hoffman & Bob Clendenin & Lenny Clarke & Fred Gallo & Amy Brenneman
Some Kind of Beautiful,2015,R, 1h 39m,Comedy,Tom Vaughan,Jessica Alba & Pierce Brosnan & Malcolm McDowell & Salma Hayek & Ben McKenzie & Marlee Matlin & Ivan Sergei & Fred Melamed & Lindsey Sporrer & Duncan Joiner & Merrin Dungey & Lombardo Boyar & Lee Garlington & Paul Rae & Erik Passoja & Robert Mailhouse & Seth Morris & Taylor John Smith & Alex Sgambati & David Saucedo & Elizabeth Anweis & Marianne Muellerleile & Bonnie Hellman & Juliet Mills & Vaughn Wilkinson & Sandy Martin & Brandi Burkhardt & Brittini London & Paul Fox & Oliver Bell & Jason David & Makena Taylor
Bad Santa,2003,R, 1h 32m,Drama & Comedy & Crime,Terry Zwigoff,Billy Bob Thornton & Tony Cox & Brett Kelly & Bernie Mac & John Ritter & Lauren Graham & Lauren Tom & Octavia Spencer & Cloris Leachman & Lorna Scott & Billy Gardell & Alex Borstein & Kerry Rossall & Curtis Taylor & Ajay Naidu & Harrison Bieker & Dylan Charles & Alexandra Korhan & Lisa Ross & Matt Walsh
Chungking Express,1994,PG-13, 1h 42m,Drama & Comedy & Romance,Wong Kar-wai,Brigitte Lin & Tony Leung Chiu-Wai & Faye Wong & Takeshi Kaneshiro & Valerie Chow & Piggy Chan & Kwan Lee-Na & Wong Chi-Ming & Leung San & Rico Chu Tak-On & Lynne Langdon & Vickie Eng
As Good as It Gets,1997,PG-13, 2h 19m,Comedy & Romance,James L. Brooks,Jack Nicholson & Helen Hunt & Greg Kinnear & Cuba Gooding Jr. & Skeet Ulrich & Shirley Knight & Yeardley Smith & Lupe Ontiveros & Lawrence Kasdan & Harold Ramis & Kathryn Morris & Alison Rose & Maya Rudolph & Julie Benz & Jimmy Workman & Jamie Kennedy & Brian Doyle-Murray & Peter Jacobson & Jesse James & Randall Batinkoff & Linda Gehringer & Kaitlin Hopkins & Danielle Spencer & Lisa Edelstein & Danielle Brisebois & Todd Solondz & Matt Malloy & Tom McGowan & Bibi Osterwald & Ross Bleckner & Bernadette Balagtas & Jaffe Cohen & Laurie Kilpatrick & Alice Vaughn & Shane Black & Stan Bly & Missi Pyle & Tara Subkoff & Rebekah Johnson & Leslie Stefanson & Patricia Childress & Wood Harris & Chloe Brooks & Cooper Brooks & Kristi Zea & Justin Herwick & John F. O'Donohue & Mary Elizabeth Still & Paul Greenberg & David A. Kipper & Antonia Jones & Alex Ballar & Bronwyn Cornelius & Amy Anzel & Laura Mayes Byrnes & Maurice LaMarche
Shallow Hal,2001,PG-13, 1h 54m,Comedy & Romance,Peter Farrelly & Bobby Farrelly,Gwyneth Paltrow & Jack Black & Jason Alexander & Joe Viterelli & Rene Kirby & Bruce McGill & Tony Robbins & Susan Ward & Zen Gesner & Brooke Burns & Rob Moran & Kyle Gass & Laura Kightlinger & Nan Martin & Sasha Neulinger & Erinn Bartlett & Fawn Irish & Daniel Greene & Danny Murphy & Steve Tyler & Darius Rucker & Bonnie Aarons & Sayed Badreya & Molly Shannon
Horton Hears a Who!,2008,G, 1h 28m,Animation & Comedy & Family & Adventure & Fantasy,Steve Martino & Jimmy Hayward,Jim Carrey & Steve Carell & Carol Burnett & Will Arnett & Seth Rogen & Dan Fogler & Isla Fisher & Jonah Hill & Amy Poehler & Jaime Pressly & Charles Osgood & Josh Flitter & Niecy Nash & Jesse McCartney & Selena Gomez & Joey King & Shelby Adamowsky & Jack Angel & Caitlin Rose Anderson & Emily Anderson & Jan Rabson & John Cygan & Jess Harnell & Debi Derryberry & Ariel Winter & Madison Davenport & Sherry Lynn & Mickie McGowan & Bob Bergen
Home Alone 4,2003,PG, 1h 29m,Crime & Comedy & Family,Rod Daniel,French Stewart & Erick Avari & Mike Weinberg & Barbara Babcock & Jason Beghe & Clare Carey & Missi Pyle & Joanna Going
Meet the Fockers,2004,PG-13, 1h 55m,Comedy & Romance,Jay Roach,Ben Stiller & Teri Polo & Robert De Niro & Dustin Hoffman & Barbra Streisand & Blythe Danner & Tim Blake Nelson & Alanna Ubach & Shelley Berman & Owen Wilson & Ray Santiago & Spencer Pickren & Bradley Pickren & Kali Rocha & Dorie Barton & Jack Plotnick & Wayne Thomas Yorke & Max Hoffman & Linda O'Neil & B.J. Hansen & J.P. Manoux & Myra Turley & Vahe Bejan
Four Weddings and a Funeral,1994,R, 1h 57m,Comedy & Drama & Romance,Mike Newell,Hugh Grant & Andie MacDowell & James Fleet & Simon Callow & John Hannah & Kristin Scott Thomas & David Bower & Charlotte Coleman & Anna Chancellor & Rowan Atkinson & Corin Redgrave & Timothy Walker & Sara Crowe & Ronald Herdman & Elspet Gray & Philip Voss & Kenneth Griffith & Rupert Vansittart & Nicola Walker & Paul Stacey & Simon Kunz & Robin McCaffrey & Michael Mears & David Haig & Sophie Thompson & Donald Weedon & Robert Lang & Jeremy Kemp & Nigel Hastings & Emily Morgan & Amanda Mealing & Polly Kemp & Melissa Knatchbull & Rosalie Crutchley & Hannah Taylor-Gordon & Bernice Stegers & Ken Drury & Struan Rodger & Lucy Hornak & Randall Paul & Pat Starr & Tim Thomas & Neville Phillips & Susanna Hamnett & John Abbott & Richard Butler & Duncan Kenworthy
Evan Almighty,2007,PG, 1h 36m,Fantasy & Comedy & Family,Tom Shadyac,Steve Carell & Morgan Freeman & Lauren Graham & Johnny Simmons & Graham Phillips & Jimmy Bennett & John Goodman & Wanda Sykes & John Michael Higgins & Jonah Hill & Molly Shannon & Harve Presnell & P. J. Byrne & Ralph Louis Harris & Arden Myrin & Brian Howe & Ralph P. Martin & Maile Flanagan & Angela Martinez & Ed Helms & Dean Norris & Harry S. Murphy & Don Dowe & Lucia Scarano & James Newman & Jon Stewart & Catherine Bell
Zoolander 2,2016,PG-13, 1h 40m,Comedy,Ben Stiller,Ben Stiller & Owen Wilson & Will Ferrell & Penélope Cruz & Kristen Wiig & Fred Armisen & Kyle Mooney & Milla Jovovich & Christine Taylor & Justin Theroux & Nathan Lee Graham & Cyrus Arnold & Billy Zane & Jon Daly & Sting & Benedict Cumberbatch & Beck Bennett & Jerry Stiller & Olivia Munn & Kanye West & Justin Bieber & Mădălina Diana Ghenea & Kim Kardashian & Ariana Grande & Lenny Kravitz & Demi Lovato & Kiefer Sutherland & Katy Perry & John Malkovich & Joe Jonas & Lenny Kravitz & Anna Wintour & Naomi Campbell & Neil deGrasse Tyson & Kate Moss & Lewis Hamilton & Susan Boyle & Tommy Hilfiger & M.C. Hammer & Susan Sarandon & Alexander Skarsgård & Johnny Weir & Willie Nelson & Christina Hendricks & Andy Dick & Rakim Mayers & Jourdan Dunn & Ana Beatriz Barros & MIKA & Marc Jacobs & Karlie Kloss & Alexander Wang & Valentino & Katie Couric & Christine Amanpour & Jane Pauley & Don Lemon & Matt Lauer & Andy Dick & Amy Stiller & Charlotte Townsend & Mitch Winston & Fabiano Di Leo & Mamy Camara & Haruhiko Yamanouchi & Antonio Te Maioha & Yama & Moshe Kasher & Christine Thollefsen & Fran Mills & Pierpaolo Piccioli & Niccolò Senni & Giordana Pieri & Olivier Langhendries & Antonio Calalani & Alexander Schuster & Bha Diop & Taigen Kawabe & Yuki Tsuji & Kohhei Matsuda & Monchhan Monna & Franca Sozzani & Jérôme Jarre & Joe Jonas & Eleonora Carisi & Diane Pernet & Trudie Styler & Leila Yavari & Nazanin Boniadi & Thiago Macedo & Maki Besea & Elettra Capuano & Gionata Curreri & Elga Enardu & Serena Enardu & Sissi Hou & Ólafur Darri Ólafsson & Orlando Orfeo & Lucia Guzzardi & Martin Saints & Davide Clivio & Kelly Aaron & Christopher Cagle & Marko Caka & Alan Cappelli Goetz & Clinton Clark & Marisol Correa & Carlijn de Jong & Kristen Fick & Antony Hagopian & Ray Hounsell & Aly Mang & Dorry Marie & Dov Markowich & Doris McCarthy & Justin McGriff & Josh Ostrovsky & Skye Stracke & Eugenia Tempesta & Skrillex & Soledad O'Brien & Romuald Klos & Jim Lehrer & Christiane Amanpour & Woodrow Asai & Joe Scarborough & Caroline Valencia & Natalie Morales
Friday,1995,R, 1h 31m,Comedy,F. Gary Gray,Ice Cube & Chris Tucker & Nia Long & Tom Lister Jr. & John Witherspoon & Anna Maria Horsford & Regina King & Paula Jai Parker & Faizon Love & DJ Pooh & Tony Cox & Anthony Johnson & Bernie Mac & Meagan Good & Terri J. Vaughn & F. Gary Gray & Reynaldo Rey & Michael Clarke Duncan
The Parent Trap,1998,PG, 2h 7m,Comedy & Family,Nancy Meyers,Lindsay Lohan & Dennis Quaid & Natasha Richardson & Elaine Hendrix & Lisa Ann Walter & Simon Kunz & Polly Holliday & Maggie Wheeler & Ronnie Stevens & Joanna Barnes & Kat Graham & Michael Lohan Jr. & Lisa Iverson & Lisa Cloud & Vendela Kirsebom & Maggie Emma Thomas & Michael Lohan & Chéri Ballinger & Andrew Blackall & Greg Bronson & Jane Doole & Casey Floresca & Beau Holden & Aliana Lohan & Dina Lohan & Erin Mackey
Dumped,2018,not available, 1h 35m,Comedy,Eloïse Lang,Miou-Miou & Camille Cottin & Camille Chamoux & Johan Heldenbergh & Olivia Côte & Youssef Hajdi & Elliot Daurat & Thomas Scimeca & Sylvain Quimene
Emma,1996,PG, 2h 1m,Comedy & Drama & Romance,Douglas McGrath,Gwyneth Paltrow & Toni Collette & Alan Cumming & Ewan McGregor & Jeremy Northam & Greta Scacchi & Juliet Stevenson & Polly Walker & Sophie Thompson & Denys Hawthorne & James Cosmo & Phyllida Law & Kathleen Byron & Edward Woodall & Brian Capron & Karen Westwood & Rebecca Craig & Angela Down & John Franklyn-Robbins & Ruth Jones & Lee Boardman
Flushed Away,2006,PG, 1h 25m,Adventure & Animation & Comedy & Family,Sam Fell & David Bowers,Hugh Jackman & Kate Winslet & Ian McKellen & Jean Reno & Bill Nighy & Andy Serkis & Shane Richie & Kathy Burke & David Suchet & Miriam Margolyes & Rachel Rawlinson & Susan Duerden & Miles Richardson & John Motson & Douglas Weston
Puss in Boots: The Three Diablos,2011,G, 0h 13m,Adventure & Animation & Comedy & Family,Raman Hui,Antonio Banderas & Gilles Marini & Chris Miller & Walt Dohrn & Bret Marnell & Miles Bakshi & Nina Zoe Bakshi & Guillaume Aretos & Charlotte Newhouse
The Blues Brothers,1980,R, 2h 13m,Music & Comedy & Action & Crime,John Landis,"Dan Aykroyd & John Belushi & James Brown & Cab Calloway & Ray Charles & Aretha Franklin & Steve Cropper & Donald ""Duck"" Dunn & Murphy Dunne & Willie Hall & Tom Malone & Lou Marini & Matt Murphy & Alan Rubin & Carrie Fisher & Henry Gibson & John Candy & Kathleen Freeman & John Lee Hooker & Tom Erhart & Gerald Walling & Walter Levine & Alonzo Atkins & Chaka Khan & Armand Cerami & Steven Williams & Kristi Oleson & Gary McLarty & Joe Cuttone & Layne Britton & Toni Fleming & Rosie Shuster & Paul Reubens & Ben Piazza & Gwen Banta & Lari Taylor & Cindy Fisher & Elizabeth Hoy & Tony M. Conde & Eugene J. Anthony & Dean Hill & Jack Orend & Gene Schuldt & Charles Mountain & Frank Oz & John Landis & Gary Houston & Judith Belushi-Pisano & Elmore James & Stephen Bishop & Charles Napier & Steven Spielberg & Curt Clendenin & Twiggy & Steve Lawrence"
Harold & Kumar Go to White Castle,2004,R, 1h 28m,Comedy & Adventure,Danny Leiner,John Cho & Kal Penn & Paula Garcés & Neil Patrick Harris & David Krumholtz & Malin Åkerman & Brooke D'Orsay & Steve Braun & Fred Willard & Robert Tinkler & Bobby Lee & Anthony Anderson & Ethan Embry & Eddie Kaye Thomas & Ryan Reynolds & Christopher Meloni & Boyd Banks & Jamie Kennedy
George of the Jungle,1997,PG, 1h 32m,Adventure & Comedy & Family & Romance,Sam Weisman,Brendan Fraser & Leslie Mann & Thomas Haden Church & John Cleese & Richard Roundtree & Abraham Benrubi & Holland Taylor & John Bennett Perry & Greg Cruttwell & Kelly Miracco & Michael Chinyamurindi & Abdoulaye N'Gom & Lydell M. Cheshier & Keith Scott & Spencer Garrett & Jon Pennell & Lauren Bowles & Afton Smith & Samantha Harris & Hans Schoeber & Alexander Denk & Sven-Ole Thorsen & Rodney Louis Johnson & Peter F. Giddings & Terilyn Joe & Michel Camus & Valerie Perri & Carrie Zanoline & Garrett Griffin & Harve Cook & Richard Elfman & Denise Holland & Anne Fletcher & Kristie Capozzoli & Sal Vassalo & Melanie Gage & Aurorah Allain & Diane Mizota & Lisa Ratzin & Joie Shettler & Sharon Ferrol-Young & Tara Nicole Hughes & Robin Tasha-Ford & Margo Blas & Jake Gentry & Tim Glenn & Jewel McDonald & Bob Quinn & Mary Ann Schmidt
Action Point,2018,R, 1h 25m,Comedy & Drama,Tim Kirkby,Johnny Knoxville & Chris Pontius & Eleanor Worthington-Cox & Aidan Whytock & Leon Clingman & Joe Vaz & Camilla Wolfson & Matthew Peterson & Johnny Pemberton & Luyanda Biggz Kabanyane & Brigette Lundy-Paine & Michael Everson & Stavros Cassapis & Michael Ramanantsialonina & Eric Manaka & Matthew Wessels & Dan Bakkedahl & Joshua Hoover & Conner McVicker & Susan Yeagley & Dana Schick & Siobhan Hodgson & Dean Fourie & Mhairi Fergusson & Dante Gabriel Thord-Gray & Clover Nee
Charlie's Angels: Full Throttle,2003,PG-13, 1h 46m,Action & Adventure & Comedy,McG,Cameron Diaz & Drew Barrymore & Lucy Liu & Bernie Mac & Crispin Glover & Justin Theroux & Robert Patrick & Demi Moore & Rodrigo Santoro & Shia LaBeouf & Matt LeBlanc & Luke Wilson & John Cleese & Ja'net DuBois & Yuen Cheung-Yan & Daxing Zhang & Bruce Comtois & Khin-Kyaw Maung & Béla Károlyi & Tanoai Reed & Robert Forster & Andrew Wilson & Eric Bogosian & Eve & Pink & Carrie Fisher & Zack Shada & Jennifer Gimenez & Josh Janowicz & Tommy Flanagan & Chris Pontius & Luke Massy & Big Boy & Anthony Griffith & Wayne Federman & Steve Hytner & Bob Stephenson & John Forsythe & Melissa McCarthy & Ashley Olsen & Mary-Kate Olsen & Jaclyn Smith & Bruce Willis
Casino Royale,1967,NR, 2h 11m,Adventure & Action & Comedy,Ken Hughes & Joseph McGrath & Val Guest & Robert Parrish & John Huston,David Niven & Peter Sellers & Ursula Andress & Orson Welles & Joanna Pettet & Daliah Lavi & Deborah Kerr & William Holden & Charles Boyer & John Huston & Kurt Kasznar & George Raft & Jean-Paul Belmondo & Terence Cooper & Barbara Bouchet & Angela Scoular & Gabriella Licudi & Tracey Crisp & Elaine Taylor & Jacqueline Bisset & Alexandra Bastedo & Anna Quayle & Derek Nimmo & Ronnie Corbett & Colin Gordon & Bernard Cribbins & Tracy Reed & John Bluthal & Woody Allen & Burt Kwouk & Geoffrey Bayldon & John Wells & Duncan Macrae & Chic Murray & Jonathan Routh & Percy Herbert & Jeanne Roland & Graham Stark & Vladek Sheybal & Richard Wattis & Penny Riley & Geraldine Chaplin & Caroline Munro & Anjelica Huston & Peter O'Toole & Jack Gwillim
Dark Shadows,2012,PG-13, 1h 53m,Comedy & Fantasy,Tim Burton,Johnny Depp & Michelle Pfeiffer & Helena Bonham Carter & Jackie Earle Haley & Jonny Lee Miller & Eva Green & Bella Heathcote & Chloë Grace Moretz & Gulliver McGrath & Ray Shirley & Christopher Lee & Alice Cooper & Ivan Kaye & Susanna Cappellaro & Raffey Cassidy & Alexia Osborne & William Hope & Glen Mexted & Josephine Butler & Shane Rimmer & Michael Shannon & Nigel Whitmey & Philip Bulcock & Sophie Kennedy Clark & Hannah Murray & Victoria Bewick & Charlotte Spencer & Lee Nicholas Harris & Harry Taylor & Sean Mahon
Scooby-Doo! and the Witch's Ghost,1999,G, 1h 10m,Animation & Comedy & Mystery & Family & Fantasy,Jim Stenstrum,Scott Innes & Mary Kay Bergman & Frank Welker & B. J. Ward & Kimberly Brooks & Jennifer Hale & Jane Wiedlin & Tim Curry & Bob Joles & Tress MacNeille & Peter Renaday & Neil Ross
Paul,2011,R, 1h 44m,Adventure & Comedy & Science Fiction,Greg Mottola,Seth Rogen & Simon Pegg & Nick Frost & Jason Bateman & Kristen Wiig & Bill Hader & Blythe Danner & Joe Lo Truglio & John Carroll Lynch & Jane Lynch & David Koechner & Jesse Plemons & Sigourney Weaver & Jeffrey Tambor & Steven Spielberg & Mia Stallard & Bobby Lee & Jennifer Granger
Hoodwinked!,2005,PG, 1h 22m,Animation & Comedy & Family,Tony Leech & Todd Edwards & Cory Edwards,Anne Hathaway & Glenn Close & James Belushi & Patrick Warburton & Anthony Anderson & David Ogden Stiers & Xzibit & Chazz Palminteri & Andy Dick & Cory Edwards & Benjy Gaither & Ken Marino & Tom Kenny & Preston Stutzman & Tony Leech
American Pie Presents: Beta House,2007,R, 1h 28m,Comedy,Andrew Waller,John White & Steve Talley & Jake Siegel & Meghan Heffern & Eugene Levy & Christopher McDonald & Jonathan Keltz & Bradford Anderson & Robbie Amell & Italia Ricci & Sarah Lian
Police Academy 6: City Under Siege,1989,PG, 1h 24m,Comedy & Crime,Peter Bonerz,Bubba Smith & David Graf & Michael Winslow & Leslie Easterbrook & G. W. Bailey & Matt McCoy & Marion Ramsey & Lance Kinsey & Bruce Mahler & George Gaynes & Gerrit Graham
Get Him to the Greek,2010,R, 1h 49m,Comedy,Nicholas Stoller,Jonah Hill & Russell Brand & Rose Byrne & Elisabeth Moss & Colm Meaney & Sean Combs & Kali Hawk & Aziz Ansari & Nick Kroll & Carla Gallo & Lino Facioli & Tom Felton & Christina Aguilera & Katy Perry & Pink & Pharrell Williams & Mario López & Jake Johnson & Ellie Kemper & Kristen Bell & T.J. Miller & Christine Nguyen & Ato Essandoh & Derek Theler & Kristen Schaal & Meghan Markle & Joyful Drake & Lars Ulrich
The Stepford Wives,2004,PG-13, 1h 33m,Comedy & Science Fiction,Frank Oz,Nicole Kidman & Matthew Broderick & Bette Midler & Glenn Close & Christopher Walken & Roger Bart & David Marshall Grant & Jon Lovitz & Matt Malloy & Kate Shindle & Fallon Brooking & Robert Stanton & Faith Hill & Dylan Hartigan & Tom Riis Farrell & Christopher Evan Welch & Lorri Bagley & Lisa Masters & Jason Kravits & Colleen Dunn & Andrea Anders & KaDee Strickland & Mike White & Larry King & Meredith Vieira & Billy Bush
Ferdinand,2017,PG, 1h 47m,Animation & Family & Adventure & Comedy,Carlos Saldanha,John Cena & Kate McKinnon & Anthony Anderson & Bobby Cannavale & David Tennant & Peyton Manning & Gina Rodriguez & Daveed Diggs & Gabriel Iglesias & Miguel Ángel Silvestre & Raúl Esparza & Jerrod Carmichael & Lily Day & Juanes & Flula Borg & Boris Kodjoe & Sally Phillips & Jeremy Sisto & Colin H. Murphy & Julia Scarpa Saldanha & Jack Gore & Nile Diaz & Jet Jurgensmeyer & Karla Martínez & Richard Gould & Carlos Saldanha & Luis Carlos de la Lombana & Rafael Scarpa Saldanha & Jordi Caballero & Maria Peyramaure & Nazanin Homa & Andreas A. Esparza & James Palumbo & Bernardo de Paula & Belita Moreno & Tim Nordquist & Alvaro Mendoza & Carlos Reig-Plaza & Cindy Slattery & Jason Fricchione & Susana Ballesteros & Ana Patricia Gámez & Laura Bayonas & Susana G. Esteban & Johnny Gidcomb & Adrian Gonzalez & Andrea Lareo & Andre Robinson & Carter Sand & Julian Zane
Baby's Day Out,1994,not available, 1h 39m,Adventure & Comedy & Family & Crime,Patrick Read Johnson,Joe Mantegna & Lara Flynn Boyle & Joe Pantoliano & Brian Haley & Cynthia Nixon & John Neville & Anna Levine & Adam Robert Worton & Jacob Joseph Worton & Matthew Glave & Fred Dalton Thompson
Jay and Silent Bob Strike Back,2001,R, 1h 44m,Comedy,Kevin Smith,Kevin Smith & Jason Mewes & Ben Affleck & Jeff Anderson & Brian O'Halloran & Shannon Elizabeth & Eliza Dushku & Ali Larter & Jennifer Schwalbach Smith & Will Ferrell & Jason Lee & Judd Nelson & George Carlin & Carrie Fisher & Seann William Scott & Jon Stewart & Mark Hamill & Joey Lauren Adams & Tracy Morgan & Gus Van Sant & Shannen Doherty & Wes Craven & Chris Rock & Joe Quesada & Matt Damon & Harley Quinn Smith & Morris Day & William B. Davis & Marc Blucas
The Twelve Tasks of Asterix,1976,APTA, 1h 22m,Family & Animation & Comedy & Adventure,Albert Uderzo & René Goscinny & Pierre Watrin & Henri Gruel,Roger Carel & Jacques Morel & Henri Labussière & Jean Martinelli & Pierre Tornade
Hot Shots!,1991,PG-13, 1h 24m,Action & Comedy & War,Jim Abrahams,Charlie Sheen & Cary Elwes & Valeria Golino & Lloyd Bridges & Kevin Dunn & Jon Cryer & William O'Leary & Kristy Swanson & Efrem Zimbalist Jr. & Bill Irwin & Heidi Swedberg & Bruce A. Young & Ryan Stiles & Rino Thunder & Mark Arnott & Ryan Cutrona & Bill Laimbeer
No Strings Attached,2011,R, 1h 47m,Comedy & Romance,Ivan Reitman,Natalie Portman & Ashton Kutcher & Kevin Kline & Cary Elwes & Greta Gerwig & Lake Bell & Olivia Thirlby & Ludacris & Jake Johnson & Mindy Kaling & Talia Balsam & Ophelia Lovibond & Guy Branum & Ben Lawson & Jennifer Irwin & Adhir Kalyan & Brian H. Dierker & Abby Elliott & Vedette Lim & Matthew Moy & Nealla Gordon & Mollee Gray & Derek Ferguson & Tyne Stecklein & Stefanie Scott & Dylan Hayes & Tom Tangen & Tim Matheson & Nasim Pedrad & Elizabeth Meriwether & Seth Morris
Friday After Next,2002,R, 1h 25m,Comedy,Marcus Raboy,Ice Cube & Mike Epps & John Witherspoon & Don Curry & Anna Maria Horsford & Clifton Powell & K. D. Aubert & Bebe Drake & Katt Williams & Rickey Smiley & Terry Crews & Maziyar Jobrani
Bad Genius,2017,PG-13, 2h 10m,Comedy & Drama & Crime,Nattawut Poonpiriya,Chutimon Chuengcharoensukying & Eisaya Hosuwan & Teeradon Supapunpinyo & Chanon Santinatornkul & Thaneth Warakulnukroh & Pasin Kuansataporn & Ego Mikitas & Sarinrat Thomas
