name,year,subtext,duration,genres,director,stars
Ant-Man and the Wasp,2018,PG-13, 1h 59m,Action & Adventure & Science Fiction & Comedy & Family,Peyton Reed,Paul Rudd & Evangeline Lilly & Michael Peña & Walton Goggins & Bobby Cannavale & Judy Greer & T.I. & David Dastmalchian & Hannah John-Kamen & Abby Ryder Fortson & Randall Park & Michelle Pfeiffer & Laurence Fishburne & Michael Douglas & Divian Ladwa & Goran Kostić & Rob Archer & Sean Kleier & Benjamin Byron Davis & Michael Cerveris & Riann Steele & Dax Griffin & Hayley Lovitt & Langston Fishburne & RaeLynn Bratten & Madeleine McGraw & Tim Heidecker & Stan Lee & Charles Justo & Brian Huskey & Suehyla El-Attar & Julia Vera & Jessica Winther & Norwood J. Cheek Jr. & Bryan Lugo & Darcy Shean & Torrey Vogel & Simon Potter & Jon Wurster & Tom Scharpling & Virginia Hamilton & Natasha Zouves & Mika Kubo & Joshua Mikel & Ronald Joe Vasquez & Chris Gann & Sergio Briones & Denney Pierce & Vanessa Ross & Zachary Culbertson & Steven Wiig & Timothy Carr & Sawyer Jones & Rick Richardson & Benjamin Weaver & Jamel Chambers & Jennifer Black & Sandra Dee Richardson & Tahseen Ghauri & Dale Liner & John Ozuna & Marcella Bragio & Sophia Marcs & William W. Barbour & Kevin Carscallen & Seth McCracken
Wonder Park,2019,PG, 1h 26m,Comedy & Animation & Adventure & Family & Fantasy,,Brianna Denski & Matthew Broderick & Jennifer Garner & Sofia Mali & Kenan Thompson & Ken Jeong & Mila Kunis & John Oliver & Norbert Leo Butz & Kath Soucie
Thor: Ragnarok,2017,PG-13, 2h 11m,Action & Adventure & Comedy & Fantasy & Science Fiction,Taika Waititi,Chris Hemsworth & Tom Hiddleston & Cate Blanchett & Idris Elba & Jeff Goldblum & Tessa Thompson & Karl Urban & Mark Ruffalo & Anthony Hopkins & Benedict Cumberbatch & Taika Waititi & Rachel House & Clancy Brown & Tadanobu Asano & Ray Stevenson & Zachary Levi & Stan Lee & Georgia Blizzard & Amali Golden & Luke Hemsworth & Sam Neill & Matt Damon & Charlotte Nicdao & Scarlett Johansson & Ashley Ricardo & Shalom Brune-Franklin & Taylor Hemsworth & Cohen Holloway & Alia Seror-O'Neill & Sophia Laryea & Steven Oliver & Hamish Parkinson & Jasper Bagg & Sky Castanho & Shari Sebbens & Richard Green & Sol Castanho & Jet Tranter & Samantha Hopper & Eloise Winestock & Rob Mayes & Tahlia Jade & Winnie Mzembe & Sean Edward Frazer & Connor Zegenhagen & Tracie Filmer & Tracey Lee Maxwell & Beatrice Ward & Donnie Baxter & Greta Carew-Johns & Adam Green & Mollie McGregor & Sophia McGregor
Deadpool 2,2018,R, 2h 1m,Action & Comedy & Adventure,David Leitch,Ryan Reynolds & Josh Brolin & Morena Baccarin & Julian Dennison & Zazie Beetz & T.J. Miller & Leslie Uggams & Karan Soni & Brianna Hildebrand & Jack Kesy & Eddie Marsan & Shiori Kutsuna & Stefan Kapičić & Andre Tricoteux & Randal Reeder & Nikolai Witschl & Thayr Harris & Rob Delaney & Lewis Tan & Bill Skarsgård & Terry Crews & Brad Pitt & Paul Wu & Robert Maillet & Alan Tudyk & Matt Damon & Michasha Armstrong & Hayley Sales & Islie Hirvonen & Joe Doserro & Jagua Arneja & Gerry South & Mike Dopud & Luke Roessler & Andy Canete & Tanis Dolman & Eleanor Walker & Hunter Dillon & Sala Baker & Sonia Sunger & Paul Wernick & Rhett Reese & Abiola Uthman & Tony Bailey & David Leitch & Hugh Jackman & James McAvoy & Nicholas Hoult & Kodi Smit-McPhee & Alexandra Shipp & Evan Peters & Tye Sheridan & David Berón & Richard Epcar & Lex Lang & David Michie & Andrew Morgado & Ben Pronsky & Dean Wein & Fred Savage
The Beach Bum,2019,R, 1h 35m,Comedy,Harmony Korine,Matthew McConaughey & Isla Fisher & Snoop Dogg & Stefania LaVie Owen & Zac Efron & Martin Lawrence & Jonah Hill & Jimmy Buffett & Vanessa Marie & Sharon Pfeiffer & Harold Clinton Archambault & Tonya Oliver & Ricardo Matallana & Alan Frankel & A. Ali Flores
The Dirt,2019,R, 1h 48m,Drama & Music & Comedy,Jeff Tremaine,Douglas Booth & Machine Gun Kelly & Iwan Rheon & Daniel Webber & Tony Cavalero & Rebekah Graf & Pete Davidson & Christian Gehring & Elena Evangelo & Joe Chrest & Courtney Dietz & Leven Rambin & Katherine Neff & Kamryn Ragsdale & Vince Mattis & David Costabile & Michael Hodson & Martin Covert & Mike R. Moreau & Max Milner & Kathryn Morris & Anthony Vincent Valbiro & Alexanne Wagner & Brittany Furlan & Matthew Underwood & Carol Ann Scruggs & Jordan Lane Price & Iris D'Aquin & Lyra D'Aquin & Alyssa Marie Stilwell
Unicorn Store,2017,not available, 1h 32m,Fantasy & Drama & Comedy,Brie Larson,Brie Larson & Samuel L. Jackson & Joan Cusack & Bradley Whitford & Mamoudou Athie & Hamish Linklater & Martha MacIsaac & Karan Soni & Annaleigh Ashford & Ryan Hansen & Mary Holland & Ithamar Enriquez & Todd Jeffries & Deb Hiett & Nelson Franklin & Chris Witaske & Jared Robbins & Kimia Behpoornia & Emily Robinson & Cody Sullivan & Susan Park & Fiona Landers & Samantha McIntyre & Janie Haddad Tompkins & Van Epperson & Nathan Kelly & Alex Greenwald & Matt Luem & Toks Olagundoye & Jack Yang & Leila Pieroni
Vice,2018,R, 2h 12m,Drama & History & Comedy,Adam McKay,Christian Bale & Amy Adams & Steve Carell & Sam Rockwell & Tyler Perry & Alison Pill & Jesse Plemons & Alex MacNicoll & Aidan Gail & Cailee Spaeny & Colyse Harger & Lily Rabe & Violet Hicks & Justin Kirk & Don McManus & LisaGay Hamilton & Stephen Adly Guirgis & Matthew Jacobs & Shea Whigham & Eddie Marsan & Stefania LaVie Owen & Adam Bartley & Kirk Bovill & Jillian Armenante & Bill Camp & Fay Masterson & Alfred Molina & Naomi Watts & Joseph Beck & Paul Perri & Brandon Sklenar & Vanessa Cloke & Brandon Firla & Abigail Marlowe & Jeff Bosley & Melody Hollis & Pilar Holland & Matt Miller & Robert L. Hughes & Mark Bramhall & Tiffany Smith & Brandon Bales & Sam Massaro & Paul Yoo & Kevin Flood
Welcome to Marwen,2018,PG-13, 1h 56m,Drama & Comedy & Fantasy,Robert Zemeckis,Steve Carell & Leslie Mann & Merritt Wever & Janelle Monáe & Diane Kruger & Falk Hentschel & Eiza González & Gwendoline Christie & Stefanie von Pfetten & Leslie Zemeckis & Siobhan Williams & Neil Jackson & Matt O'Leary & Eric Keenleyside & Veena Sood & Christie-Lee Britten & Matthew Kevin Anderson & Nikolai Witschl & Matt Ellis & Conrad Coates & Samantha Hum & Jason Burkart & Robert Mann & Alexander Lowe & Sharon Crandall & Patrick Roccas & Kate Gajdosik
Holmes & Watson,2018,PG-13, 1h 30m,Mystery & Adventure & Comedy & Crime,Etan Cohen,Will Ferrell & John C. Reilly & Rebecca Hall & Ralph Fiennes & Hugh Laurie & Kelly Macdonald & Steve Coogan & Pam Ferris & Rob Brydon & Lauren Lapkus & Noah Jupe & Bella Ramsey & Adam Scherr & Michael Culkin & Kieran O'Brien & Jordan Long & Jorge Leon Martinez & Billy Jenkins & Gerard Monaco & Scarlet Grace & James Eeles & Karl Farrer & Shawn Dixon & Lindy Barrett & Oliver Maltman & Jason Thorpe & Martin Bassindale & Wolf Roth & Mark Anthony Dawson & Ethan Rouse & Paddy Holland & Willem Dalby & Amelia O'Loughlin & Deepak Anand & Christian Wolf-La'Moy  & Sonnyboy Skelton & Hector Bateman-Harden & Paul T.T. Easter & Daniel Fearn & Phil Hodges & Paul Cassidy & Anjan Kannan & Laura Stevely & John Kinory & Joseph Macnab & Russell Wilcox & Craig Thomas Lambert & Lochlan White & Riley White & Benjamin Lok & Jamie Baughan & Sara Beasley & Henrihs Ahmadejevs & David Handley & Martyn Mayger & Codie-Lei Eastick & Anthony Richard Rowe & Samantha Sharon Watson & David Shackleton & Matthew Di Liello & David Stoller & Colby Mulgrew & Darren Lake & Mick Slaney & Mark Behan & Wesley Kent-Hargreaves & David Bromley & Ellie Rose Eames & Joey Grima & Angus Cook & Neil Main & Stanley Eldridge & Edward Olhausen & Lilly Aspell & Nick Davison & Hugh O'Brien & Andrew G. Ogleby & Richard Price & Richard Price & Pete Freerunner Simpson & Bronson Webb & Billy Zane & Michael Buffer
